Аудит історії гри "vlam13" з 2018/01/01 12:00 AM по 2018/04/02 11:59 PM
Деталі транзакції,Суми окремих транзакцій,Поточний баланс,
Дата/Час,Дія,Назва столу / Гравець / Турнір №,Гра,Валюта рахунку,Сума,T-гроші,W-гроші,Баланс,T-гроші,W-гроші,
2018/01/20 6:12 PM,Відміна реєстрації в турнірі,2192602262$0.25 NL Hold'em [90 Players]," NL Hold'em Sit&Go Buy-In: 0.23/0.02",USD,"0.25","0.00","0.00","10.73","0.00","0.00"
2018/01/20 6:12 PM,Реєстрація в турнірі,2192596732$0.50 NL Hold'em [90 Players  Turbo]," NL Hold'em Sit&Go Buy-In: 0.45/0.05",USD,"-0.50","0.00","0.00","10.23","0.00","0.00"
2018/01/20 6:13 PM,Відміна реєстрації в турнірі,2192596732$0.50 NL Hold'em [90 Players  Turbo]," NL Hold'em Sit&Go Buy-In: 0.45/0.05",USD,"0.50","0.00","0.00","10.73","0.00","0.00"
2018/01/20 6:13 PM,Реєстрація в турнірі,2192597773$1.00 NL Hold'em [90 Players  Turbo]," NL Hold'em Sit&Go Buy-In: 0.91/0.09",USD,"-1.00","0.00","0.00","9.73","0.00","0.00"
2018/01/20 6:13 PM,Відміна реєстрації в турнірі,2192597773$1.00 NL Hold'em [90 Players  Turbo]," NL Hold'em Sit&Go Buy-In: 0.91/0.09",USD,"1.00","0.00","0.00","10.73","0.00","0.00"
2018/01/20 6:13 PM,Реєстрація в турнірі,2192609325$0.25 NL Hold'em [45 Players]," NL Hold'em Sit&Go Buy-In: 0.23/0.02",USD,"-0.25","0.00","0.00","10.48","0.00","0.00"
2018/01/20 6:13 PM,Відміна реєстрації в турнірі,2192609325$0.25 NL Hold'em [45 Players]," NL Hold'em Sit&Go Buy-In: 0.23/0.02",USD,"0.25","0.00","0.00","10.73","0.00","0.00"
2018/01/20 6:13 PM,Реєстрація в турнірі,2192602262$0.25 NL Hold'em [90 Players]," NL Hold'em Sit&Go Buy-In: 0.23/0.02",USD,"-0.25","0.00","0.00","10.48","0.00","0.00"
2018/01/20 6:15 PM,Реєстрація в турнірі,2192610850$0.25 NLHE Spin & Go," NL Hold'em Sit&Go Buy-In: 0.23/0.02",USD,"-0.25","0.00","0.00","10.23","0.00","0.00"
2018/01/20 6:33 PM,Реєстрація в турнірі,2192628750$0.25 NL Hold'em [45 Players]," NL Hold'em Sit&Go Buy-In: 0.23/0.02",USD,"-0.25","0.00","0.00","9.98","0.00","0.00"
2018/01/20 6:33 PM,Відміна реєстрації в турнірі,2192628750$0.25 NL Hold'em [45 Players]," NL Hold'em Sit&Go Buy-In: 0.23/0.02",USD,"0.25","0.00","0.00","10.23","0.00","0.00"
2018/01/20 6:33 PM,Реєстрація в турнірі,2192621355$0.25 NL Hold'em [90 Players]," NL Hold'em Sit&Go Buy-In: 0.23/0.02",USD,"-0.25","0.00","0.00","9.98","0.00","0.00"
2018/01/20 6:33 PM,Відміна реєстрації в турнірі,2192621355$0.25 NL Hold'em [90 Players]," NL Hold'em Sit&Go Buy-In: 0.23/0.02",USD,"0.25","0.00","0.00","10.23","0.00","0.00"
2018/01/20 6:33 PM,Реєстрація в турнірі,2192628750$0.25 NL Hold'em [45 Players]," NL Hold'em Sit&Go Buy-In: 0.23/0.02",USD,"-0.25","0.00","0.00","9.98","0.00","0.00"
2018/01/20 9:14 PM,Виграно турнір,2192628750$0.25 NL Hold'em [45 Players]," NL Hold'em Sit&Go Buy-In: 0.23/0.02",USD,"3.23","0.00","0.00","13.21","0.00","0.00"
2018/01/21 1:56 AM,Ігровий квиток надано,4422770,"",USD,"0.00","0.00","0.00","13.21","0.00","0.00"
2018/01/21 4:30 PM,Бай-ін міні-гри,366530015,"",USD,"0.00","0.00","0.00","13.21","0.00","0.00"
2018/01/21 4:30 PM,Реєстрація в турнірі,2193641717$0.50 NL Hold'em [45 Players  Turbo]," NL Hold'em Sit&Go Buy-In: 0.45/0.05",USD,"-0.50","0.00","0.00","12.71","0.00","0.00"
2018/01/21 5:04 PM,Реєстрація в турнірі,2193679926$0.25 NLHE Spin & Go," NL Hold'em Sit&Go Buy-In: 0.23/0.02",USD,"-0.25","0.00","0.00","12.46","0.00","0.00"
2018/01/21 5:07 PM,Виграно турнір,2193679926$0.25 NLHE Spin & Go," NL Hold'em Sit&Go Buy-In: 0.23/0.02",USD,"0.50","0.00","0.00","12.96","0.00","0.00"
2018/01/21 5:08 PM,Реєстрація в турнірі,2193684675$0.25 NLHE Spin & Go," NL Hold'em Sit&Go Buy-In: 0.23/0.02",USD,"-0.25","0.00","0.00","12.71","0.00","0.00"
2018/01/21 5:18 PM,Реєстрація в турнірі,2193695055$0.25 NLHE Spin & Go," NL Hold'em Sit&Go Buy-In: 0.23/0.02",USD,"-0.25","0.00","0.00","12.46","0.00","0.00"
2018/01/21 5:26 PM,Реєстрація в турнірі,2193704217$0.25 NLHE Spin & Go," NL Hold'em Sit&Go Buy-In: 0.23/0.02",USD,"-0.25","0.00","0.00","12.21","0.00","0.00"
2018/01/21 5:42 PM,Stars Rewards,366646335,"",USD,"0.00","0.00","0.00","12.21","0.00","0.00"
2018/01/21 5:43 PM,Реєстрація в турнірі,2193721622$0.25 NLHE Spin & Go," NL Hold'em Sit&Go Buy-In: 0.23/0.02",USD,"-0.25","0.00","0.00","11.96","0.00","0.00"
2018/01/22 4:54 PM,Реєстрація в турнірі,2194742589$0.25 NL Hold'em [45 Players]," NL Hold'em Sit&Go Buy-In: 0.23/0.02",USD,"-0.25","0.00","0.00","11.71","0.00","0.00"
2018/01/22 4:54 PM,Ігровий квиток надано,5018458,"",USD,"0.00","0.00","0.00","11.71","0.00","0.00"
2018/01/22 4:54 PM,Бай-ін міні-гри,368093982,"",USD,"0.00","0.00","0.00","11.71","0.00","0.00"
2018/01/22 5:24 PM,Реєстрація в турнірі,2194778285$0.25 NL Hold'em [45 Players]," NL Hold'em Sit&Go Buy-In: 0.23/0.02",USD,"-0.25","0.00","0.00","11.46","0.00","0.00"
2018/01/22 5:25 PM,Реєстрація в турнірі,2194780751$0.25 NL Hold'em [45 Players]," NL Hold'em Sit&Go Buy-In: 0.23/0.02",USD,"-0.25","0.00","0.00","11.21","0.00","0.00"
2018/01/22 7:22 PM,Виграно турнір,2194778285$0.25 NL Hold'em [45 Players]," NL Hold'em Sit&Go Buy-In: 0.23/0.02",USD,"1.29","0.00","0.00","12.50","0.00","0.00"
2018/01/23 1:33 AM,Ігровий квиток надано,5223584,"",USD,"0.00","0.00","0.00","12.50","0.00","0.00"
2018/01/24 1:42 AM,Ігровий квиток надано,5649711,"",USD,"0.00","0.00","0.00","12.50","0.00","0.00"
2018/01/24 5:09 PM,Бай-ін міні-гри,371132023,"",USD,"0.00","0.00","0.00","12.50","0.00","0.00"
2018/01/24 5:10 PM,Бай-ін міні-гри,371132831,"",USD,"0.00","0.00","0.00","12.50","0.00","0.00"
2018/01/24 5:11 PM,Реєстрація в турнірі,2196874899$0.25 NL Hold'em [45 Players]," NL Hold'em Sit&Go Buy-In: 0.23/0.02",USD,"-0.25","0.00","0.00","12.25","0.00","0.00"
2018/01/24 5:13 PM,Реєстрація в турнірі,2196877538$0.25 NL Hold'em [45 Players]," NL Hold'em Sit&Go Buy-In: 0.23/0.02",USD,"-0.25","0.00","0.00","12.00","0.00","0.00"
2018/01/24 7:12 PM,Виграно турнір,2196874899$0.25 NL Hold'em [45 Players]," NL Hold'em Sit&Go Buy-In: 0.23/0.02",USD,"1.29","0.00","0.00","13.29","0.00","0.00"
2018/01/25 1:51 AM,Ігровий квиток надано,6055018,"",USD,"0.00","0.00","0.00","13.29","0.00","0.00"
2018/01/26 1:41 AM,Ігровий квиток надано,6463559,"",USD,"0.00","0.00","0.00","13.29","0.00","0.00"
2018/01/27 1:37 AM,Ігровий квиток надано,6880944,"",USD,"0.00","0.00","0.00","13.29","0.00","0.00"
2018/01/27 4:57 PM,Бай-ін міні-гри,375520741,"",USD,"0.00","0.00","0.00","13.29","0.00","0.00"
2018/01/27 4:57 PM,Бай-ін міні-гри,375521079,"",USD,"0.00","0.00","0.00","13.29","0.00","0.00"
2018/01/27 4:57 PM,Бай-ін міні-гри,375521473,"",USD,"0.00","0.00","0.00","13.29","0.00","0.00"
2018/01/27 4:59 PM,Реєстрація в турнірі,2200069698$0.25 NL Hold'em [45 Players]," NL Hold'em Sit&Go Buy-In: 0.23/0.02",USD,"-0.25","0.00","0.00","13.04","0.00","0.00"
2018/01/27 5:01 PM,Реєстрація в турнірі,2200074743$0.25 NL Hold'em [45 Players]," NL Hold'em Sit&Go Buy-In: 0.23/0.02",USD,"-0.25","0.00","0.00","12.79","0.00","0.00"
2018/01/27 6:24 PM,Реєстрація в турнірі,2200160674$0.25 NLHE Spin & Go," NL Hold'em Sit&Go Buy-In: 0.23/0.02",USD,"-0.25","0.00","0.00","12.54","0.00","0.00"
2018/01/27 6:31 PM,Реєстрація в турнірі,2200166868$0.25 NLHE Spin & Go," NL Hold'em Sit&Go Buy-In: 0.23/0.02",USD,"-0.25","0.00","0.00","12.29","0.00","0.00"
2018/01/27 6:51 PM,Реєстрація в турнірі,2200185710$0.25 NLHE Spin & Go," NL Hold'em Sit&Go Buy-In: 0.23/0.02",USD,"-0.25","0.00","0.00","12.04","0.00","0.00"
2018/01/27 6:51 PM,Реєстрація в турнірі,2200183215$0.50 NL Hold'em [45 Players  Turbo]," NL Hold'em Sit&Go Buy-In: 0.45/0.05",USD,"-0.50","0.00","0.00","11.54","0.00","0.00"
2018/01/27 6:52 PM,Реєстрація в турнірі,2200186600$0.25 NLHE Spin & Go," NL Hold'em Sit&Go Buy-In: 0.23/0.02",USD,"-0.25","0.00","0.00","11.29","0.00","0.00"
2018/01/27 7:08 PM,Реєстрація в турнірі,2200199078$0.25 NL Hold'em [45 Players]," NL Hold'em Sit&Go Buy-In: 0.23/0.02",USD,"-0.25","0.00","0.00","11.04","0.00","0.00"
2018/01/28 1:34 AM,Ігровий квиток надано,7305794,"",USD,"0.00","0.00","0.00","11.04","0.00","0.00"
2018/01/28 6:10 AM,Бай-ін міні-гри,376187322,"",USD,"0.00","0.00","0.00","11.04","0.00","0.00"
2018/01/28 6:12 AM,Реєстрація в турнірі,2200530064$0.50 NL Hold'em [90 Players  Turbo]," NL Hold'em Sit&Go Buy-In: 0.45/0.05",USD,"-0.50","0.00","0.00","10.54","0.00","0.00"
2018/01/30 4:30 PM,Реєстрація в турнірі,2203274246$0.50 NL Hold'em [90 Players  Turbo]," NL Hold'em Sit&Go Buy-In: 0.45/0.05",USD,"-0.50","0.00","0.00","10.04","0.00","0.00"
2018/01/30 4:30 PM,Реєстрація в турнірі,2203279403$0.25 NLHE Spin & Go," NL Hold'em Sit&Go Buy-In: 0.23/0.02",USD,"-0.25","0.00","0.00","9.79","0.00","0.00"
2018/01/30 4:34 PM,Реєстрація в турнірі,2203283127$0.25 NLHE Spin & Go," NL Hold'em Sit&Go Buy-In: 0.23/0.02",USD,"-0.25","0.00","0.00","9.54","0.00","0.00"
2018/01/30 4:40 PM,Виграно турнір,2203283127$0.25 NLHE Spin & Go," NL Hold'em Sit&Go Buy-In: 0.23/0.02",USD,"0.50","0.00","0.00","10.04","0.00","0.00"
2018/01/30 4:41 PM,Відміна реєстрації в турнірі,2203274246$0.50 NL Hold'em [90 Players  Turbo]," NL Hold'em Sit&Go Buy-In: 0.45/0.05",USD,"0.50","0.00","0.00","10.54","0.00","0.00"
2018/01/30 4:41 PM,Реєстрація в турнірі,2203289325$0.50 NL Hold'em [45 Players  Turbo]," NL Hold'em Sit&Go Buy-In: 0.45/0.05",USD,"-0.50","0.00","0.00","10.04","0.00","0.00"
2018/01/30 4:41 PM,Реєстрація в турнірі,2203291633$0.25 NLHE Spin & Go," NL Hold'em Sit&Go Buy-In: 0.23/0.02",USD,"-0.25","0.00","0.00","9.79","0.00","0.00"
2018/01/30 4:47 PM,Виграно турнір,2203291633$0.25 NLHE Spin & Go," NL Hold'em Sit&Go Buy-In: 0.23/0.02",USD,"1.00","0.00","0.00","10.79","0.00","0.00"
2018/01/31 6:36 PM,Реєстрація в турнірі,2204468633$0.25 NLHE Spin & Go," NL Hold'em Sit&Go Buy-In: 0.23/0.02",USD,"-0.25","0.00","0.00","10.54","0.00","0.00"
